AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2015-16,40,6.5,6.1,6.3,14,"3,197","50,950",> 100%
National,,All,2015-16,41,6.6,6.2,6.3,7,"3,131","49,830",> 100%
National,,All,2015-16,42,6.7,6.3,6.4,16,"3,214","50,667",> 100%
National,,All,2015-16,43,6.8,6.4,6.3,17,"3,163","50,384",> 100%
National,,All,2015-16,44,6.9,6.5,6.6,20,"3,353","51,158",> 100%
National,,All,2015-16,45,7.1,6.7,6.4,14,"3,225","50,668",> 100%
National,,All,2015-16,46,7.2,6.8,6.5,13,"3,336","51,387",> 100%
National,,All,2015-16,47,7.3,6.9,6.5,14,"3,324","51,196",> 100%
National,,All,2015-16,48,7.4,7,6.7,22,"3,457","51,996",> 100%
National,,All,2015-16,49,7.6,7.2,6.6,20,"3,528","53,556",> 100%
National,,All,2015-16,50,7.7,7.3,6.7,26,"3,452","51,842",> 100%
National,,All,2015-16,51,7.8,7.4,6.7,15,"3,510","52,761",> 100%
National,,All,2015-16,52,7.9,7.5,7.5,31,"3,917","52,490",> 100%
National,,All,2015-16,1,8,7.6,7.7,32,"4,241","55,788",> 100%
National,,All,2015-16,2,8.1,7.7,7.8,30,"4,278","55,525",> 100%
National,,All,2015-16,3,8.1,7.7,7.4,36,"4,043","55,182",> 100%
National,,All,2015-16,4,8.2,7.8,7.5,50,"4,110","55,606",> 100%
National,,All,2015-16,5,8.2,7.8,7.5,61,"4,064","54,896",> 100%
National,,All,2015-16,6,8.2,7.8,7.3,93,"3,935","55,106",> 100%
National,,All,2015-16,7,8.2,7.8,7.5,148,"4,011","55,785",> 100%
National,,All,2015-16,8,8.2,7.8,8,187,"4,197","54,873",> 100%
National,,All,2015-16,9,8.2,7.8,8.1,257,"4,243","55,875",> 100%
National,,All,2015-16,10,8.1,7.8,8.1,294,"4,277","56,112",> 100%
National,,All,2015-16,11,8.1,7.7,8.3,351,"4,143","54,462",> 100%
National,,All,2015-16,12,8,7.6,8.2,295,"4,176","54,662",> 100%
National,,All,2015-16,13,7.9,7.5,7.7,282,"3,893","53,880",> 100%
National,,All,2015-16,14,7.8,7.4,7.8,250,"3,945","54,066",> 100%
National,,All,2015-16,15,7.7,7.3,7.6,196,"3,891","53,490",> 100%
National,,All,2015-16,16,7.6,7.2,7.2,148,"3,684","53,149",> 100%
National,,All,2015-16,17,7.5,7.1,6.9,127,"3,398","51,027",> 100%
National,,All,2015-16,18,7.4,7,6.8,91,"3,403","51,270",> 100%
National,,All,2015-16,19,7.2,6.8,6.5,74,"3,240","51,000",> 100%
National,,All,2015-16,20,7.1,6.7,6.6,34,"3,290","50,469",> 100%
National,,All,2015-16,21,7,6.6,6.4,30,"3,199","50,490",> 100%
National,,All,2015-16,22,6.8,6.4,6.1,17,"3,025","49,711",> 100%
National,,All,2015-16,23,6.7,6.3,6.4,17,"3,175","49,917",> 100%
National,,All,2015-16,24,6.6,6.2,5.9,18,"2,920","49,910",> 100%
National,,All,2015-16,25,6.5,6.1,5.8,12,"2,876","49,623",> 100%
National,,All,2015-16,26,6.3,6,5.9,10,"2,914","49,746",> 100%
National,,All,2015-16,27,6.2,5.9,5.9,10,"2,914","49,698",> 100%
National,,All,2015-16,28,6.2,5.8,5.9,6,"2,926","49,637",> 100%
National,,All,2015-16,29,6.1,5.7,5.6,5,"2,767","49,275",> 100%
National,,All,2015-16,30,6,5.6,5.7,5,"2,804","49,698",> 100%
National,,All,2015-16,31,6,5.6,5.8,2,"2,846","49,505",> 100%
National,,All,2015-16,32,6,5.6,5.7,2,"2,827","49,740",> 100%
National,,All,2015-16,33,5.9,5.6,5.8,5,"2,867","49,809",> 100%
National,,All,2015-16,34,5.9,5.6,5.7,6,"2,827","49,509",> 100%
National,,All,2015-16,35,6,5.6,5.8,5,"2,869","49,576",> 100%
National,,All,2015-16,36,6,5.6,5.8,5,"2,881","50,075",> 100%
National,,All,2015-16,37,6,5.6,6.2,8,"3,093","49,915",> 100%
National,,All,2015-16,38,6.1,5.7,6.1,9,"3,017","49,876",> 100%
National,,All,2015-16,39,6.2,5.8,6,11,"2,986","50,254",> 100%
National,,All,2016-17,40,6.2,5.9,5.9,18,"3,024","51,400",> 100%
National,,All,2016-17,41,6.3,6,6.1,11,"3,193","52,124",> 100%
National,,All,2016-17,42,6.4,6.1,6.2,7,"3,178","51,436",> 100%
National,,All,2016-17,43,6.6,6.2,6.1,17,"3,130","51,864",> 100%
National,,All,2016-17,44,6.7,6.3,6,16,"3,100","51,741",> 100%
National,,All,2016-17,45,6.8,6.4,6.1,19,"3,207","52,524",> 100%
National,,All,2016-17,46,6.9,6.5,6,7,"3,192","53,442",> 100%
National,,All,2016-17,47,7,6.7,6.2,22,"3,255","53,128",> 100%
National,,All,2016-17,48,7.2,6.8,6.5,34,"3,510","54,496",> 100%
National,,All,2016-17,49,7.3,6.9,6.6,33,"3,616","55,133",> 100%
National,,All,2016-17,50,7.4,7,6.8,46,"3,778","55,977",> 100%
National,,All,2016-17,51,7.5,7.1,6.8,92,"3,737","56,696",> 100%
National,,All,2016-17,52,7.6,7.2,7.4,157,"4,105","57,613",> 100%
National,,All,2016-17,1,7.7,7.3,8.1,289,"4,558","59,763",> 100%
National,,All,2016-17,2,7.8,7.4,8,368,"4,505","60,980",> 100%
National,,All,2016-17,3,7.8,7.5,8.4,373,"4,621","59,293",> 100%
National,,All,2016-17,4,7.9,7.5,8.3,367,"4,427","58,047",> 100%
National,,All,2016-17,5,7.9,7.6,8.2,351,"4,452","58,431",> 100%
National,,All,2016-17,6,8,7.6,8.2,419,"4,447","59,038",> 100%
National,,All,2016-17,7,8,7.6,8.5,545,"4,419","58,479",> 100%
National,,All,2016-17,8,8,7.6,8.5,605,"4,369","58,288",> 100%
National,,All,2016-17,9,7.9,7.6,8.4,534,"4,260","57,256",> 100%
National,,All,2016-17,10,7.9,7.5,8.2,472,"4,223","57,477",> 100%
National,,All,2016-17,11,7.8,7.5,7.9,376,"4,100","56,656",> 100%
National,,All,2016-17,12,7.8,7.4,7.7,319,"4,091","57,045",> 100%
