AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Illinois,All,2015-16,40,6.2,0,125,"2,024",99.3%
State,Illinois,All,2015-16,41,5.9,1,116,"1,970",96.7%
State,Illinois,All,2015-16,42,6.8,0,140,"2,064",> 100%
State,Illinois,All,2015-16,43,6.1,0,126,"2,082",> 100%
State,Illinois,All,2015-16,44,6.5,1,126,"1,949",95.7%
State,Illinois,All,2015-16,45,7.4,1,149,"2,029",99.6%
State,Illinois,All,2015-16,46,6,1,122,"2,055",> 100%
State,Illinois,All,2015-16,47,7.1,0,146,"2,067",> 100%
State,Illinois,All,2015-16,48,7.2,1,147,"2,049",> 100%
State,Illinois,All,2015-16,49,6.1,0,125,"2,066",> 100%
State,Illinois,All,2015-16,50,5.9,0,122,"2,055",> 100%
State,Illinois,All,2015-16,51,7,1,141,"2,043",> 100%
State,Illinois,All,2015-16,52,8.5,0,180,"2,120",> 100%
State,Illinois,All,2015-16,1,7.6,1,166,"2,184",> 100%
State,Illinois,All,2015-16,2,8,0,175,"2,185",> 100%
State,Illinois,All,2015-16,3,7,1,152,"2,173",> 100%
State,Illinois,All,2015-16,4,6.7,1,139,"2,102",> 100%
State,Illinois,All,2015-16,5,7.8,4,165,"2,169",> 100%
State,Illinois,All,2015-16,6,7.2,2,152,"2,153",> 100%
State,Illinois,All,2015-16,7,7,1,158,"2,265",> 100%
State,Illinois,All,2015-16,8,8.2,5,174,"2,172",> 100%
State,Illinois,All,2015-16,9,8,18,155,"2,173",> 100%
State,Illinois,All,2015-16,10,7.1,16,140,"2,199",> 100%
State,Illinois,All,2015-16,11,8.8,24,153,"2,017",99%
State,Illinois,All,2015-16,12,8.3,10,167,"2,139",> 100%
State,Illinois,All,2015-16,13,7.1,10,138,"2,073",> 100%
State,Illinois,All,2015-16,14,7.4,4,149,"2,062",> 100%
State,Illinois,All,2015-16,15,7.5,5,150,"2,069",> 100%
State,Illinois,All,2015-16,16,7.7,2,160,"2,095",> 100%
State,Illinois,All,2015-16,17,6.2,1,117,"1,891",92.8%
State,Illinois,All,2015-16,18,7.2,3,142,"2,009",98.6%
State,Illinois,All,2015-16,19,6.1,0,120,"1,979",97.1%
State,Illinois,All,2015-16,20,7.7,2,153,"2,001",98.2%
State,Illinois,All,2015-16,21,5.8,0,115,"1,970",96.7%
State,Illinois,All,2015-16,22,5.9,2,113,"1,938",95.1%
State,Illinois,All,2015-16,23,7.3,0,141,"1,944",95.4%
State,Illinois,All,2015-16,24,5.6,0,106,"1,883",92.4%
State,Illinois,All,2015-16,25,6,1,120,"2,015",98.9%
State,Illinois,All,2015-16,26,6.9,1,132,"1,915",94%
State,Illinois,All,2015-16,27,5.9,0,118,"1,991",97.7%
State,Illinois,All,2015-16,28,5.4,0,103,"1,897",93.1%
State,Illinois,All,2015-16,29,5.5,0,107,"1,954",95.9%
State,Illinois,All,2015-16,30,5.5,0,108,"1,951",95.8%
State,Illinois,All,2015-16,31,5.2,1,100,"1,938",95.1%
State,Illinois,All,2015-16,32,5.2,0,99,"1,887",92.6%
State,Illinois,All,2015-16,33,6.2,0,120,"1,949",95.7%
State,Illinois,All,2015-16,34,6.1,0,121,"1,982",97.3%
State,Illinois,All,2015-16,35,5.5,0,105,"1,919",94.2%
State,Illinois,All,2015-16,36,6.5,0,129,"1,993",97.8%
State,Illinois,All,2015-16,37,6.6,0,126,"1,910",93.7%
State,Illinois,All,2015-16,38,6.4,0,131,"2,032",99.7%
State,Illinois,All,2015-16,39,5.7,0,113,"1,994",97.9%
State,Illinois,All,2016-17,40,6.5,0,129,"1,996",98%
State,Illinois,All,2016-17,41,7.3,0,150,"2,052",> 100%
State,Illinois,All,2016-17,42,5.9,1,113,"1,926",94.5%
State,Illinois,All,2016-17,43,6.6,1,136,"2,063",> 100%
State,Illinois,All,2016-17,44,5.9,1,120,"2,043",> 100%
State,Illinois,All,2016-17,45,6.1,0,121,"1,978",97.1%
State,Illinois,All,2016-17,46,6,0,127,"2,106",> 100%
State,Illinois,All,2016-17,47,5.7,1,115,"2,032",99.7%
State,Illinois,All,2016-17,48,6,0,123,"2,056",> 100%
State,Illinois,All,2016-17,49,5.6,2,118,"2,154",> 100%
State,Illinois,All,2016-17,50,6.1,0,140,"2,292",> 100%
State,Illinois,All,2016-17,51,7.3,0,165,"2,247",> 100%
State,Illinois,All,2016-17,52,7.6,3,172,"2,296",> 100%
State,Illinois,All,2016-17,1,7.6,3,168,"2,256",> 100%
State,Illinois,All,2016-17,2,7.8,8,178,"2,396",> 100%
State,Illinois,All,2016-17,3,8.1,9,182,"2,366",> 100%
State,Illinois,All,2016-17,4,8.1,8,175,"2,246",> 100%
State,Illinois,All,2016-17,5,7.2,8,157,"2,300",> 100%
State,Illinois,All,2016-17,6,9.4,17,204,"2,351",> 100%
State,Illinois,All,2016-17,7,8.4,18,178,"2,345",> 100%
State,Illinois,All,2016-17,8,8,22,162,"2,294",> 100%
State,Illinois,All,2016-17,9,8.7,17,176,"2,207",> 100%
State,Illinois,All,2016-17,10,9.4,13,200,"2,267",> 100%
State,Illinois,All,2016-17,11,7.5,22,142,"2,191",> 100%
State,Illinois,All,2016-17,12,8.1,13,172,"2,288",> 100%
State,Illinois,All,2016-17,13,6.6,5,140,"2,191",> 100%
State,Illinois,All,2016-17,14,7.2,7,148,"2,146",> 100%
State,Illinois,All,2016-17,15,8,12,163,"2,177",> 100%
State,Illinois,All,2016-17,16,7.7,6,149,"2,006",98.5%
