AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Iowa,All,2015-16,40,7.8,0,46,588,> 100%
State,Iowa,All,2015-16,41,6.2,0,34,550,97.2%
State,Iowa,All,2015-16,42,6.2,1,33,546,96.5%
State,Iowa,All,2015-16,43,7.3,1,35,496,87.7%
State,Iowa,All,2015-16,44,7.8,0,41,523,92.5%
State,Iowa,All,2015-16,45,5.5,0,32,577,> 100%
State,Iowa,All,2015-16,46,8.7,1,47,553,97.8%
State,Iowa,All,2015-16,47,7.5,0,45,597,> 100%
State,Iowa,All,2015-16,48,8.1,0,43,531,93.9%
State,Iowa,All,2015-16,49,4.8,0,27,561,99.2%
State,Iowa,All,2015-16,50,5.1,0,30,583,> 100%
State,Iowa,All,2015-16,51,6.3,1,35,576,> 100%
State,Iowa,All,2015-16,52,8.2,0,48,586,> 100%
State,Iowa,All,2015-16,1,7.5,1,46,628,> 100%
State,Iowa,All,2015-16,2,9,1,56,631,> 100%
State,Iowa,All,2015-16,3,6.8,0,42,619,> 100%
State,Iowa,All,2015-16,4,10.4,1,61,596,> 100%
State,Iowa,All,2015-16,5,7.6,0,45,589,> 100%
State,Iowa,All,2015-16,6,7.5,2,43,602,> 100%
State,Iowa,All,2015-16,7,7.5,1,45,617,> 100%
State,Iowa,All,2015-16,8,8.4,3,48,610,> 100%
State,Iowa,All,2015-16,9,7.4,1,41,564,99.7%
State,Iowa,All,2015-16,10,10.7,6,55,568,> 100%
State,Iowa,All,2015-16,11,9.8,2,55,581,> 100%
State,Iowa,All,2015-16,12,8.1,5,40,554,98%
State,Iowa,All,2015-16,13,9.3,4,44,515,91.1%
State,Iowa,All,2015-16,14,10.5,7,60,637,> 100%
State,Iowa,All,2015-16,15,9.4,3,48,544,96.2%
State,Iowa,All,2015-16,16,6.5,1,35,553,97.8%
State,Iowa,All,2015-16,17,8.4,2,46,572,> 100%
State,Iowa,All,2015-16,18,6.7,0,38,569,> 100%
State,Iowa,All,2015-16,19,6.9,2,35,537,94.9%
State,Iowa,All,2015-16,20,5.7,0,33,577,> 100%
State,Iowa,All,2015-16,21,7.3,0,37,507,89.6%
State,Iowa,All,2015-16,22,6.9,1,32,479,84.7%
State,Iowa,All,2015-16,23,7.1,0,38,538,95.1%
State,Iowa,All,2015-16,24,5.3,0,28,532,94.1%
State,Iowa,All,2015-16,25,4.5,0,23,508,89.8%
State,Iowa,All,2015-16,26,5.4,1,29,552,97.6%
State,Iowa,All,2015-16,27,5.7,0,29,505,89.3%
State,Iowa,All,2015-16,28,5.2,0,24,466,82.4%
