AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,New Jersey,All,2015-16,40,5.5,0,77,"1,407",> 100%
State,New Jersey,All,2015-16,41,6.3,0,85,"1,355",97.6%
State,New Jersey,All,2015-16,42,6.9,0,94,"1,366",98.4%
State,New Jersey,All,2015-16,43,4.5,0,59,"1,305",94%
State,New Jersey,All,2015-16,44,5.1,0,70,"1,371",98.7%
State,New Jersey,All,2015-16,45,6,0,80,"1,328",95.6%
State,New Jersey,All,2015-16,46,5.7,0,74,"1,288",92.7%
State,New Jersey,All,2015-16,47,4.9,0,65,"1,328",95.6%
State,New Jersey,All,2015-16,48,5.2,1,68,"1,334",96.1%
State,New Jersey,All,2015-16,49,5,1,67,"1,361",98%
State,New Jersey,All,2015-16,50,4.7,0,64,"1,371",98.7%
State,New Jersey,All,2015-16,51,5.4,0,73,"1,345",96.8%
State,New Jersey,All,2015-16,52,6.1,0,82,"1,352",97.3%
State,New Jersey,All,2015-16,1,7.9,0,114,"1,449",> 100%
State,New Jersey,All,2015-16,2,5.3,1,79,"1,520",> 100%
State,New Jersey,All,2015-16,3,4.6,1,66,"1,442",> 100%
State,New Jersey,All,2015-16,4,6.2,1,91,"1,493",> 100%
State,New Jersey,All,2015-16,5,6.2,0,92,"1,493",> 100%
State,New Jersey,All,2015-16,6,5.8,0,84,"1,445",> 100%
State,New Jersey,All,2015-16,7,6,1,86,"1,448",> 100%
State,New Jersey,All,2015-16,8,6.5,2,90,"1,413",> 100%
State,New Jersey,All,2015-16,9,6.9,2,102,"1,508",> 100%
State,New Jersey,All,2015-16,10,7.6,6,106,"1,482",> 100%
State,New Jersey,All,2015-16,11,7.8,13,105,"1,505",> 100%
State,New Jersey,All,2015-16,12,6.4,9,91,"1,551",> 100%
State,New Jersey,All,2015-16,13,5.8,6,73,"1,367",98.4%
State,New Jersey,All,2015-16,14,6.6,6,87,"1,405",> 100%
State,New Jersey,All,2015-16,15,7.6,10,99,"1,430",> 100%
State,New Jersey,All,2015-16,16,5.8,2,81,"1,441",> 100%
State,New Jersey,All,2015-16,17,6.2,4,82,"1,398",> 100%
State,New Jersey,All,2015-16,18,5.5,3,70,"1,337",96.3%
State,New Jersey,All,2015-16,19,6.1,3,80,"1,363",98.1%
State,New Jersey,All,2015-16,20,5.9,1,79,"1,358",97.8%
State,New Jersey,All,2015-16,21,5.8,0,76,"1,316",94.8%
State,New Jersey,All,2015-16,22,4.7,0,61,"1,307",94.1%
State,New Jersey,All,2015-16,23,5.4,0,69,"1,280",92.2%
State,New Jersey,All,2015-16,24,4.4,1,62,"1,424",> 100%
State,New Jersey,All,2015-16,25,5.5,0,69,"1,264",91%
State,New Jersey,All,2015-16,26,5.2,0,69,"1,323",95.3%
State,New Jersey,All,2015-16,27,5.3,0,72,"1,362",98.1%
State,New Jersey,All,2015-16,28,5.6,0,71,"1,279",92.1%
State,New Jersey,All,2015-16,29,3.9,0,49,"1,258",90.6%
State,New Jersey,All,2015-16,30,4.9,1,64,"1,314",94.6%
State,New Jersey,All,2015-16,31,5.2,0,68,"1,301",93.7%
State,New Jersey,All,2015-16,32,5.1,0,68,"1,344",96.8%
State,New Jersey,All,2015-16,33,5.8,0,77,"1,335",96.1%
State,New Jersey,All,2015-16,34,4.4,0,61,"1,375",99%
State,New Jersey,All,2015-16,35,7.5,0,100,"1,328",95.6%
State,New Jersey,All,2015-16,36,3.9,0,50,"1,287",92.7%
State,New Jersey,All,2015-16,37,5.2,0,69,"1,329",95.7%
State,New Jersey,All,2015-16,38,6.4,0,81,"1,265",91.1%
State,New Jersey,All,2015-16,39,4.9,0,65,"1,332",95.9%
State,New Jersey,All,2016-17,40,5.8,3,77,"1,368",98.5%
State,New Jersey,All,2016-17,41,5.1,2,67,"1,361",98%
State,New Jersey,All,2016-17,42,5.7,0,84,"1,481",> 100%
State,New Jersey,All,2016-17,43,5.9,1,83,"1,432",> 100%
State,New Jersey,All,2016-17,44,6.1,0,85,"1,389",> 100%
State,New Jersey,All,2016-17,45,5.8,0,82,"1,417",> 100%
State,New Jersey,All,2016-17,46,5.8,0,86,"1,492",> 100%
State,New Jersey,All,2016-17,47,4.5,0,64,"1,420",> 100%
State,New Jersey,All,2016-17,48,4.6,0,66,"1,440",> 100%
State,New Jersey,All,2016-17,49,5.7,0,85,"1,481",> 100%
State,New Jersey,All,2016-17,50,5.4,0,80,"1,477",> 100%
State,New Jersey,All,2016-17,51,5.7,0,86,"1,518",> 100%
State,New Jersey,All,2016-17,52,6.1,2,95,"1,583",> 100%
State,New Jersey,All,2016-17,1,8.1,6,120,"1,552",> 100%
State,New Jersey,All,2016-17,2,7.6,7,123,"1,719",> 100%
State,New Jersey,All,2016-17,3,6.5,12,94,"1,627",> 100%
State,New Jersey,All,2016-17,4,7.2,7,110,"1,619",> 100%
State,New Jersey,All,2016-17,5,7.4,13,109,"1,655",> 100%
State,New Jersey,All,2016-17,6,8.1,7,122,"1,593",> 100%
State,New Jersey,All,2016-17,7,7.4,16,103,"1,598",> 100%
State,New Jersey,All,2016-17,8,8.7,5,134,"1,600",> 100%
State,New Jersey,All,2016-17,9,6.8,11,94,"1,540",> 100%
State,New Jersey,All,2016-17,10,6.6,4,103,"1,613",> 100%
State,New Jersey,All,2016-17,11,7,5,103,"1,534",> 100%
State,New Jersey,All,2016-17,12,6.3,1,91,"1,472",> 100%
State,New Jersey,All,2016-17,13,5.5,2,78,"1,460",> 100%
State,New Jersey,All,2016-17,14,7.5,2,112,"1,530",> 100%
State,New Jersey,All,2016-17,15,6.1,1,88,"1,452",> 100%
State,New Jersey,All,2016-17,16,6.6,1,95,"1,449",> 100%
State,New Jersey,All,2016-17,17,5.5,3,75,"1,423",> 100%
State,New Jersey,All,2016-17,18,4.2,1,56,"1,368",98.5%
State,New Jersey,All,2016-17,19,4.5,0,64,"1,418",> 100%
State,New Jersey,All,2016-17,20,5.3,3,72,"1,416",> 100%
State,New Jersey,All,2016-17,21,4.9,0,66,"1,354",97.5%
State,New Jersey,All,2016-17,22,5.6,0,77,"1,378",99.2%
State,New Jersey,All,2016-17,23,4.8,0,65,"1,357",97.7%
State,New Jersey,All,2016-17,24,6.2,0,82,"1,322",95.2%
State,New Jersey,All,2016-17,25,4.3,0,58,"1,353",97.4%
State,New Jersey,All,2016-17,26,5.7,0,76,"1,339",96.4%
