AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,New York,All,2015-16,40,6.7,0,133,"1,973",> 100%
State,New York,All,2015-16,41,6.6,0,121,"1,830",96.3%
State,New York,All,2015-16,42,7.8,1,151,"1,943",> 100%
State,New York,All,2015-16,43,7.4,0,141,"1,899",99.9%
State,New York,All,2015-16,44,7.7,0,146,"1,887",99.3%
State,New York,All,2015-16,45,6.7,0,122,"1,816",95.6%
State,New York,All,2015-16,46,6.8,1,125,"1,847",97.2%
State,New York,All,2015-16,47,6.8,0,125,"1,843",97%
State,New York,All,2015-16,48,7.2,0,135,"1,876",98.7%
State,New York,All,2015-16,49,7.6,0,148,"1,954",> 100%
State,New York,All,2015-16,50,7.6,1,140,"1,852",97.5%
State,New York,All,2015-16,51,7.1,1,130,"1,857",97.7%
State,New York,All,2015-16,52,8.5,0,154,"1,808",95.2%
State,New York,All,2015-16,1,7.4,0,147,"1,975",> 100%
State,New York,All,2015-16,2,8.2,0,167,"2,039",> 100%
State,New York,All,2015-16,3,7.5,0,151,"2,008",> 100%
State,New York,All,2015-16,4,7.8,1,161,"2,068",> 100%
State,New York,All,2015-16,5,8,2,159,"2,023",> 100%
State,New York,All,2015-16,6,7.2,2,128,"1,814",95.5%
State,New York,All,2015-16,7,8.3,1,154,"1,867",98.3%
State,New York,All,2015-16,8,9.7,6,176,"1,886",99.3%
State,New York,All,2015-16,9,8.1,5,161,"2,037",> 100%
State,New York,All,2015-16,10,8.6,12,166,"2,060",> 100%
State,New York,All,2015-16,11,7.8,15,128,"1,835",96.6%
State,New York,All,2015-16,12,8.7,12,154,"1,909",> 100%
State,New York,All,2015-16,13,8.6,13,156,"1,964",> 100%
State,New York,All,2015-16,14,9,10,171,"2,002",> 100%
State,New York,All,2015-16,15,9.3,13,172,"1,998",> 100%
State,New York,All,2015-16,16,7.7,9,142,"1,964",> 100%
