AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Texas,All,2015-16,40,6,3,207,"3,511",97.3%
State,Texas,All,2015-16,41,6.8,0,230,"3,395",94.1%
State,Texas,All,2015-16,42,7.7,2,267,"3,509",97.2%
State,Texas,All,2015-16,43,6.4,1,218,"3,421",94.8%
State,Texas,All,2015-16,44,7,0,246,"3,535",97.9%
State,Texas,All,2015-16,45,6.2,2,217,"3,515",97.4%
State,Texas,All,2015-16,46,7.7,1,282,"3,698",> 100%
State,Texas,All,2015-16,47,6.7,1,237,"3,542",98.1%
State,Texas,All,2015-16,48,7.4,2,265,"3,591",99.5%
State,Texas,All,2015-16,49,7.5,3,288,"3,896",> 100%
State,Texas,All,2015-16,50,7.6,4,285,"3,779",> 100%
State,Texas,All,2015-16,51,6.8,2,262,"3,876",> 100%
State,Texas,All,2015-16,52,8.4,4,302,"3,660",> 100%
State,Texas,All,2015-16,1,8.1,3,322,"3,996",> 100%
State,Texas,All,2015-16,2,8.4,1,315,"3,764",> 100%
State,Texas,All,2015-16,3,8.1,3,303,"3,767",> 100%
State,Texas,All,2015-16,4,6.9,3,260,"3,801",> 100%
State,Texas,All,2015-16,5,7.8,4,294,"3,813",> 100%
State,Texas,All,2015-16,6,7.7,8,300,"3,982",> 100%
State,Texas,All,2015-16,7,7.4,6,286,"3,921",> 100%
State,Texas,All,2015-16,8,8.5,10,313,"3,795",> 100%
State,Texas,All,2015-16,9,7.7,8,287,"3,850",> 100%
State,Texas,All,2015-16,10,8,13,291,"3,781",> 100%
State,Texas,All,2015-16,11,8.4,7,305,"3,725",> 100%
State,Texas,All,2015-16,12,7.9,17,283,"3,794",> 100%
State,Texas,All,2015-16,13,7.8,9,286,"3,773",> 100%
State,Texas,All,2015-16,14,7.7,12,278,"3,770",> 100%
State,Texas,All,2015-16,15,7.7,6,276,"3,655",> 100%
State,Texas,All,2015-16,16,7.7,6,273,"3,625",> 100%
State,Texas,All,2015-16,17,7.4,6,264,"3,670",> 100%
State,Texas,All,2015-16,18,7.1,3,253,"3,597",99.6%
