AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Washington,All,2015-16,40,6.1,0,61,"1,000",97%
State,Washington,All,2015-16,41,7.3,1,69,964,93.5%
State,Washington,All,2015-16,42,6.8,0,70,"1,026",99.5%
State,Washington,All,2015-16,43,6.6,1,68,"1,052",> 100%
State,Washington,All,2015-16,44,7.7,1,77,"1,016",98.5%
State,Washington,All,2015-16,45,7.2,0,76,"1,058",> 100%
State,Washington,All,2015-16,46,5.8,1,58,"1,024",99.3%
State,Washington,All,2015-16,47,4.9,0,52,"1,066",> 100%
State,Washington,All,2015-16,48,7.8,0,87,"1,115",> 100%
State,Washington,All,2015-16,49,6.5,0,74,"1,139",> 100%
State,Washington,All,2015-16,50,6.4,1,67,"1,063",> 100%
State,Washington,All,2015-16,51,7.9,0,86,"1,084",> 100%
State,Washington,All,2015-16,52,7.4,0,80,"1,081",> 100%
State,Washington,All,2015-16,1,7.2,0,82,"1,144",> 100%
State,Washington,All,2015-16,2,6.8,3,72,"1,100",> 100%
State,Washington,All,2015-16,3,6.4,3,71,"1,156",> 100%
State,Washington,All,2015-16,4,7.1,3,75,"1,099",> 100%
State,Washington,All,2015-16,5,5.5,0,60,"1,093",> 100%
State,Washington,All,2015-16,6,6.7,5,68,"1,088",> 100%
State,Washington,All,2015-16,7,6.1,2,67,"1,127",> 100%
State,Washington,All,2015-16,8,8.8,11,90,"1,147",> 100%
State,Washington,All,2015-16,9,7.7,6,78,"1,096",> 100%
State,Washington,All,2015-16,10,8.3,5,88,"1,126",> 100%
State,Washington,All,2015-16,11,6.4,7,64,"1,117",> 100%
State,Washington,All,2015-16,12,8.6,10,86,"1,118",> 100%
State,Washington,All,2015-16,13,8.6,6,88,"1,090",> 100%
State,Washington,All,2015-16,14,9.2,14,83,"1,049",> 100%
State,Washington,All,2015-16,15,9.9,8,97,"1,065",> 100%
State,Washington,All,2015-16,16,8.5,3,89,"1,083",> 100%
State,Washington,All,2015-16,17,7.8,2,76,996,96.6%
State,Washington,All,2015-16,18,6.8,0,74,"1,090",> 100%
State,Washington,All,2015-16,19,6.1,0,62,"1,024",99.3%
State,Washington,All,2015-16,20,6.2,0,65,"1,050",> 100%
State,Washington,All,2015-16,21,6.8,0,68,994,96.4%
State,Washington,All,2015-16,22,6.5,0,67,"1,031",100%
State,Washington,All,2015-16,23,6.4,0,63,990,96%
State,Washington,All,2015-16,24,4.8,0,47,972,94.2%
State,Washington,All,2015-16,25,6.6,0,65,980,95%
State,Washington,All,2015-16,26,5.9,0,60,"1,012",98.1%
State,Washington,All,2015-16,27,5.3,0,52,986,95.6%
State,Washington,All,2015-16,28,6.1,2,57,960,93.1%
State,Washington,All,2015-16,29,5.3,0,52,972,94.2%
State,Washington,All,2015-16,30,6.1,0,65,"1,066",> 100%
State,Washington,All,2015-16,31,5.5,0,52,944,91.5%
State,Washington,All,2015-16,32,6.2,0,59,952,92.3%
State,Washington,All,2015-16,33,6,0,59,977,94.7%
State,Washington,All,2015-16,34,6.3,1,60,965,93.6%
State,Washington,All,2015-16,35,5.2,0,52,999,96.9%
State,Washington,All,2015-16,36,5.5,0,54,987,95.7%
State,Washington,All,2015-16,37,5.8,0,59,"1,013",98.2%
State,Washington,All,2015-16,38,5,0,50,996,96.6%
State,Washington,All,2015-16,39,4.8,0,49,"1,017",98.6%
State,Washington,All,2016-17,40,5.8,0,59,"1,009",97.8%
State,Washington,All,2016-17,41,5.7,1,59,"1,054",> 100%
